Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
audi,a4,2010,1.8,diesel,manual,284378,4,2,3212
ford,fiesta,2016,3.2,diesel,semi-automatic,85000,3,1,10400
honda,civic,2005,1.8,electric,automatic,161998,5,1,7660
chevrolet,impala,2005,3.7,electric,semi-automatic,230850,3,3,6683
bmw,3 series,2022,3.8,petrol,automatic,68244,5,5,14635
audi,a4,2000,3.4,hybrid,automatic,100297,5,5,7994
hyundai,tucson,2014,2.1,diesel,manual,200967,3,4,6380
chevrolet,impala,2000,4.6,diesel,semi-automatic,290821,2,4,2883
mercedes,c-class,2004,3.2,hybrid,automatic,201279,5,5,6974
mercedes,e-class,2011,2.3,hybrid,manual,186140,3,5,6977
hyundai,elantra,2012,1.3,electric,automatic,110716,5,1,10285
honda,civic,2007,1.4,petrol,manual,91339,2,2,5773
volkswagen,passat,2022,3.3,petrol,automatic,233451,3,4,10830
audi,a4,2008,4.8,diesel,semi-automatic,150832,2,2,8283
volkswagen,tiguan,2003,1.3,electric,semi-automatic,52894,4,2,7242
audi,q5,2020,2.7,diesel,automatic,179934,3,1,10701
ford,explorer,2001,2.3,diesel,automatic,262977,2,1,2940
hyundai,tucson,2022,3.0,hybrid,automatic,55945,5,2,15081
audi,a4,2014,4.5,hybrid,manual,167035,4,5,10459
mercedes,gla,2020,1.9,hybrid,automatic,202766,4,4,10444
bmw,5 series,2010,4.1,hybrid,manual,176973,2,1,8660
chevrolet,impala,2015,2.1,electric,automatic,247108,2,1,9257
toyota,camry,2014,5.0,hybrid,semi-automatic,185806,5,3,10583
audi,q5,2021,2.4,diesel,manual,42569,5,5,11948
hyundai,sonata,2023,1.6,diesel,semi-automatic,242697,3,3,7746
toyota,corolla,2014,1.7,electric,automatic,124805,3,3,11003
hyundai,elantra,2017,1.4,diesel,manual,31301,2,1,9973
kia,optima,2021,4.8,petrol,semi-automatic,277838,2,3,9643
audi,a3,2022,1.7,diesel,automatic,210126,3,5,9697
mercedes,c-class,2008,4.3,diesel,automatic,155522,4,5,9189
volkswagen,passat,2011,4.5,petrol,manual,95736,5,1,9985
volkswagen,tiguan,2002,4.0,petrol,automatic,201169,2,2,6176
hyundai,sonata,2018,4.4,electric,semi-automatic,202720,5,3,11845
chevrolet,equinox,2022,1.3,diesel,semi-automatic,32421,4,1,11351
chevrolet,equinox,2003,3.7,diesel,automatic,74560,5,3,8708
chevrolet,impala,2020,1.2,electric,automatic,153614,5,3,11727
chevrolet,malibu,2016,1.7,petrol,manual,249622,2,1,5607
honda,cr-v,2009,1.3,electric,semi-automatic,279749,4,2,4505
mercedes,gla,2010,2.1,electric,manual,276357,3,4,5672
hyundai,tucson,2001,3.1,petrol,automatic,39292,4,2,8214
mercedes,c-class,2010,3.8,diesel,semi-automatic,149913,2,3,7901
kia,optima,2006,3.4,electric,automatic,74188,3,1,11316
audi,a4,2003,1.2,diesel,manual,11817,4,1,5963
audi,a3,2021,4.7,petrol,manual,231318,2,5,10473
volkswagen,golf,2013,2.8,diesel,semi-automatic,91312,4,2,8973
mercedes,gla,2008,1.4,petrol,semi-automatic,62819,4,2,6643
bmw,3 series,2012,1.4,electric,automatic,70485,4,2,11190
hyundai,tucson,2016,2.7,petrol,manual,257462,5,2,6450
mercedes,e-class,2010,2.5,electric,automatic,95716,2,5,11185
hyundai,elantra,2014,4.0,diesel,manual,113849,3,5,10023
kia,sportage,2000,2.8,diesel,manual,107891,3,3,4742
audi,q5,2002,3.4,diesel,manual,3252,2,3,8034
bmw,3 series,2006,3.6,hybrid,manual,29478,2,1,9910
chevrolet,impala,2020,4.3,petrol,semi-automatic,10842,2,2,14183
hyundai,sonata,2009,4.2,diesel,semi-automatic,247601,4,5,6047
bmw,3 series,2009,1.4,electric,automatic,248906,2,3,6721
toyota,camry,2002,4.7,petrol,manual,105943,3,5,7281
audi,a4,2022,2.8,petrol,semi-automatic,173298,5,5,10034
hyundai,elantra,2004,2.5,electric,manual,298642,4,2,3827
honda,accord,2006,3.4,hybrid,manual,61327,4,3,9073
bmw,x5,2017,1.8,petrol,manual,163677,3,5,7726
volkswagen,passat,2018,1.6,petrol,automatic,131223,4,1,9975
honda,civic,2021,2.9,diesel,semi-automatic,106349,2,2,11173
bmw,5 series,2006,3.2,hybrid,automatic,107059,3,1,9458
audi,a4,2008,2.4,diesel,automatic,5844,2,4,10283
chevrolet,equinox,2005,4.8,electric,semi-automatic,145771,3,2,9484
bmw,5 series,2013,3.6,diesel,manual,217426,4,5,7251
audi,a3,2007,2.9,diesel,automatic,139422,4,1,7811
bmw,5 series,2013,2.0,electric,semi-automatic,200202,4,5,7995
chevrolet,impala,2021,2.5,hybrid,semi-automatic,209436,2,1,9711
bmw,3 series,2012,1.3,electric,manual,289461,4,4,5210
mercedes,c-class,2005,3.2,petrol,semi-automatic,298890,3,5,2822
chevrolet,malibu,2005,2.3,petrol,automatic,151459,2,1,6370
kia,optima,2009,4.1,electric,automatic,96287,5,4,12474
ford,fiesta,2022,2.1,electric,manual,52526,5,2,13749
toyota,corolla,2006,2.9,diesel,manual,173496,2,2,5330
bmw,3 series,2017,2.4,petrol,manual,111282,3,2,9374
hyundai,tucson,2002,1.7,electric,manual,230187,3,5,3796
bmw,3 series,2023,2.0,electric,semi-automatic,62847,5,1,13743
audi,a3,2012,1.7,electric,semi-automatic,124324,3,5,8913
volkswagen,passat,2010,4.3,electric,manual,169988,2,3,10000
honda,accord,2009,1.4,diesel,manual,103573,3,5,6128
volkswagen,passat,2014,3.4,diesel,automatic,206819,5,4,9063
chevrolet,impala,2000,1.5,diesel,manual,208943,4,4,2000
hyundai,sonata,2020,1.9,petrol,semi-automatic,30074,5,2,11398
toyota,corolla,2017,2.5,petrol,automatic,3381,5,3,13132
volkswagen,golf,2008,2.0,petrol,manual,220044,2,3,4099
kia,sportage,2009,2.9,petrol,automatic,223777,4,3,6724
audi,q5,2006,1.2,hybrid,manual,127033,2,1,5559
kia,sportage,2015,2.9,electric,manual,31540,2,4,12869
volkswagen,golf,2021,4.9,hybrid,automatic,74795,4,3,16304
bmw,3 series,2003,4.2,electric,manual,272876,4,5,5742
mercedes,c-class,2021,1.5,electric,automatic,270383,5,2,9992
ford,fiesta,2008,2.6,electric,automatic,44794,2,5,11704
toyota,rav4,2017,3.9,hybrid,semi-automatic,157946,5,5,10941
bmw,x5,2001,4.7,electric,manual,154159,3,2,8016
honda,cr-v,2006,3.1,diesel,semi-automatic,194340,3,1,5113
toyota,corolla,2008,1.5,diesel,manual,29852,4,5,7402
hyundai,sonata,2008,2.6,diesel,automatic,161537,2,4,7369
audi,q5,2015,1.4,electric,semi-automatic,243771,5,3,7124
bmw,3 series,2014,2.7,electric,automatic,69430,3,5,13111
toyota,camry,2004,3.6,petrol,manual,64005,2,4,7619
audi,a4,2016,4.0,hybrid,automatic,95719,2,1,13485
kia,optima,2017,4.0,electric,manual,247267,4,5,10254
audi,a4,2007,2.8,electric,manual,14764,5,4,10704
chevrolet,malibu,2000,2.8,petrol,manual,261003,4,1,2000
chevrolet,malibu,2003,2.1,electric,automatic,150597,3,4,7588
toyota,corolla,2005,2.5,electric,automatic,62423,4,3,10351
bmw,x5,2011,1.1,electric,manual,29405,3,5,9911
ford,explorer,2015,4.0,electric,manual,13533,5,4,14329
kia,sportage,2007,1.9,electric,semi-automatic,203974,2,5,6020
audi,a3,2022,4.4,electric,automatic,275626,2,1,13087
audi,a4,2016,3.6,diesel,automatic,279916,3,3,8401
kia,optima,2018,4.0,petrol,semi-automatic,85467,2,4,11790
volkswagen,tiguan,2014,1.4,hybrid,semi-automatic,123101,2,5,8237
bmw,5 series,2023,2.2,diesel,automatic,225321,5,1,10193
bmw,x5,2021,1.8,electric,automatic,221393,3,1,11272
ford,explorer,2004,1.1,hybrid,automatic,105901,4,2,6781
toyota,corolla,2004,1.3,hybrid,semi-automatic,144910,5,2,4701
kia,optima,2002,4.7,hybrid,manual,57129,3,1,9257
honda,cr-v,2007,2.4,petrol,automatic,63346,5,2,8833
ford,fiesta,2005,2.4,diesel,semi-automatic,45740,5,2,7085
kia,rio,2012,1.8,petrol,semi-automatic,32063,3,4,8858
toyota,camry,2005,1.7,hybrid,manual,200007,4,5,4299
hyundai,tucson,2011,4.4,diesel,manual,122108,5,3,9357
toyota,rav4,2003,4.2,petrol,manual,234654,3,5,4506
hyundai,sonata,2021,2.8,hybrid,semi-automatic,99088,2,1,12218
bmw,3 series,2000,2.3,hybrid,semi-automatic,222441,2,3,2951
chevrolet,impala,2015,4.2,diesel,automatic,45451,2,4,13390
toyota,corolla,2016,3.8,petrol,manual,246841,2,2,7763
honda,cr-v,2007,4.0,petrol,automatic,296917,4,5,5761
chevrolet,equinox,2006,3.3,hybrid,semi-automatic,143776,2,2,7324
chevrolet,impala,2016,4.5,petrol,semi-automatic,112950,3,5,11141
toyota,rav4,2011,4.7,electric,manual,35398,5,5,13392
hyundai,sonata,2001,3.3,hybrid,manual,24321,4,4,8213
chevrolet,malibu,2017,2.0,diesel,semi-automatic,107525,5,5,9049
toyota,rav4,2010,1.6,electric,automatic,24051,5,1,11718
kia,sportage,2007,2.7,petrol,automatic,270043,4,3,4999
bmw,5 series,2015,2.6,petrol,automatic,154031,4,1,9619
kia,sportage,2007,4.0,electric,automatic,28099,4,4,13138
kia,rio,2000,1.9,petrol,automatic,217166,4,5,3156
volkswagen,tiguan,2021,2.5,petrol,manual,216994,3,3,8560
audi,a3,2007,2.7,petrol,manual,246486,3,4,3970
audi,q5,2008,1.5,petrol,automatic,152898,4,2,6442
mercedes,c-class,2023,3.1,hybrid,semi-automatic,51711,4,5,14065
bmw,3 series,2012,4.8,petrol,semi-automatic,8891,5,3,12322
hyundai,tucson,2009,3.7,hybrid,semi-automatic,224217,2,1,7015
toyota,camry,2015,1.4,petrol,automatic,9400,3,5,11312
volkswagen,passat,2010,2.6,electric,automatic,52378,3,1,12152
honda,cr-v,2022,3.0,petrol,manual,165456,5,4,10390
chevrolet,malibu,2023,2.9,hybrid,semi-automatic,239768,3,4,10104
kia,sportage,2008,3.9,electric,semi-automatic,137257,4,4,9654
ford,explorer,2020,1.5,diesel,semi-automatic,235169,2,1,6896
audi,a4,2003,4.8,electric,automatic,4324,5,2,13213
bmw,3 series,2002,2.3,petrol,semi-automatic,35718,2,1,6285
kia,rio,2004,4.1,diesel,automatic,273351,2,2,5432
hyundai,sonata,2017,3.0,diesel,manual,169333,2,3,8813
ford,focus,2000,1.4,hybrid,automatic,127902,3,2,5441
volkswagen,golf,2022,2.2,electric,semi-automatic,13951,5,1,14620
kia,optima,2020,2.5,electric,manual,62813,4,4,13343
kia,optima,2001,1.2,electric,semi-automatic,122361,3,4,5152
toyota,corolla,2004,1.0,diesel,automatic,274984,4,4,2300
chevrolet,equinox,2005,3.3,electric,manual,293774,3,2,5024
ford,explorer,2014,3.2,hybrid,manual,131027,5,1,9879
bmw,3 series,2011,2.8,electric,automatic,140109,3,4,10897
kia,rio,2008,2.5,diesel,manual,265803,4,3,3683
kia,rio,2020,2.2,hybrid,semi-automatic,148075,5,2,10338
ford,focus,2018,3.9,petrol,manual,215744,5,3,9085
toyota,rav4,2008,3.8,electric,manual,293122,3,4,6437
toyota,rav4,2003,3.4,petrol,semi-automatic,3533,3,2,8329
kia,rio,2004,4.2,petrol,automatic,48634,4,4,10027
volkswagen,tiguan,2009,1.2,hybrid,semi-automatic,123996,3,1,6520
mercedes,c-class,2011,2.4,petrol,manual,60114,3,1,8597
chevrolet,equinox,2016,1.7,petrol,automatic,79718,3,4,10505
ford,focus,2018,2.2,electric,semi-automatic,217000,3,4,9360
hyundai,elantra,2023,2.7,petrol,semi-automatic,156170,2,2,10576
honda,civic,2012,1.5,electric,automatic,241016,2,5,7879
mercedes,c-class,2013,1.3,diesel,automatic,296027,2,5,4879
kia,optima,2014,2.9,electric,automatic,19288,3,2,14314
ford,focus,2015,2.7,petrol,semi-automatic,50686,4,3,10286
volkswagen,tiguan,2012,4.1,electric,manual,133687,5,3,11126
mercedes,gla,2004,4.9,diesel,semi-automatic,47611,5,4,9247
chevrolet,malibu,2015,2.1,hybrid,manual,217276,5,3,7354
chevrolet,impala,2011,2.8,electric,manual,232046,3,2,7559
hyundai,tucson,2022,1.6,petrol,manual,207317,5,5,8153
toyota,corolla,2008,4.5,electric,semi-automatic,264110,4,1,7717
ford,explorer,2017,4.8,hybrid,semi-automatic,259436,5,2,9811
honda,accord,2009,4.6,hybrid,manual,289840,4,4,6603
kia,optima,2009,1.4,hybrid,automatic,72678,3,2,9246
chevrolet,impala,2011,3.7,diesel,manual,122465,2,5,8650
audi,q5,2021,2.0,diesel,automatic,175090,2,3,10398
kia,optima,2013,4.9,petrol,automatic,155541,2,1,11289
bmw,5 series,2011,4.0,petrol,semi-automatic,145370,5,4,8492
mercedes,c-class,2000,1.1,electric,automatic,220988,2,3,4280
ford,explorer,2013,2.8,hybrid,manual,140316,4,5,8993
kia,rio,2004,3.6,electric,automatic,249866,3,5,7402
audi,q5,2016,3.0,petrol,manual,40193,3,1,11096
hyundai,elantra,2006,1.5,hybrid,manual,265157,3,2,3096
chevrolet,equinox,2023,4.2,diesel,automatic,91363,4,4,14872
toyota,corolla,2018,2.6,hybrid,automatic,255077,5,5,9498
kia,optima,2021,3.3,electric,semi-automatic,291237,5,2,9875
toyota,corolla,2006,2.5,diesel,semi-automatic,78706,2,3,6825
mercedes,c-class,2010,3.5,petrol,semi-automatic,67470,2,1,9250
audi,a3,2009,1.0,electric,automatic,8196,4,5,11136
chevrolet,impala,2011,1.9,electric,manual,32813,3,1,10643
toyota,corolla,2000,3.4,hybrid,manual,128068,2,2,5938
volkswagen,tiguan,2022,4.4,diesel,manual,9320,3,1,14913
kia,sportage,2017,2.5,diesel,semi-automatic,34193,3,1,11016
toyota,corolla,2020,1.4,electric,automatic,139088,2,5,12218
kia,optima,2001,4.9,petrol,manual,110844,3,1,7083
kia,sportage,2015,3.8,petrol,manual,210696,5,5,8186
kia,sportage,2010,2.9,diesel,semi-automatic,13906,5,1,9721
honda,cr-v,2005,4.5,electric,automatic,228423,3,2,9031
volkswagen,passat,2008,1.0,petrol,semi-automatic,260882,3,3,2282
chevrolet,malibu,2016,2.5,electric,automatic,47183,2,5,13956
audi,q5,2013,3.6,electric,manual,209772,3,2,9404
ford,fiesta,2004,4.7,electric,manual,60828,3,1,10783
hyundai,tucson,2022,1.8,hybrid,manual,40030,5,1,12699
toyota,rav4,2010,3.7,diesel,manual,149055,2,3,7818
audi,q5,2014,2.5,petrol,automatic,110792,3,4,10084
ford,fiesta,2009,4.8,diesel,semi-automatic,241980,4,1,6760
kia,sportage,2019,3.3,electric,manual,130376,2,2,12492
kia,optima,2018,2.8,diesel,automatic,109738,3,5,11605
chevrolet,impala,2005,1.2,hybrid,automatic,23847,2,5,8823
hyundai,sonata,2018,4.1,electric,semi-automatic,292571,5,3,9748
ford,focus,2016,5.0,electric,automatic,253812,4,4,12323
kia,rio,2007,4.5,petrol,automatic,266174,3,4,6876
audi,q5,2016,3.8,hybrid,manual,69756,3,4,12304
mercedes,gla,2001,1.9,diesel,automatic,83696,5,4,6126
kia,rio,2011,2.5,electric,automatic,298476,4,4,7430
mercedes,gla,2019,2.6,electric,semi-automatic,21179,4,4,13976
chevrolet,malibu,2006,3.7,diesel,semi-automatic,209680,3,5,5406
ford,fiesta,2002,4.6,hybrid,manual,103548,5,4,8229
kia,rio,2019,2.1,electric,manual,108750,4,4,11725
ford,explorer,2013,4.1,electric,semi-automatic,24882,2,5,13602
audi,q5,2002,2.7,diesel,manual,138030,4,4,4639
ford,explorer,2019,2.9,hybrid,semi-automatic,246123,2,1,8777
honda,cr-v,2013,1.7,petrol,semi-automatic,226767,4,1,5164
kia,rio,2014,4.5,diesel,automatic,207887,5,3,10142
chevrolet,impala,2007,2.5,electric,manual,241571,2,5,5868
ford,fiesta,2003,2.6,hybrid,automatic,87872,5,5,8342
hyundai,sonata,2005,1.6,hybrid,manual,169966,5,5,4800
bmw,x5,2000,2.0,diesel,manual,158419,3,5,2931
bmw,5 series,2005,2.9,petrol,manual,269554,3,2,3108
audi,a4,2011,4.3,hybrid,automatic,67882,2,3,12842
hyundai,tucson,2014,4.0,diesel,manual,30004,3,1,11699
mercedes,e-class,2005,1.2,diesel,automatic,191537,5,3,4469
hyundai,elantra,2009,1.1,hybrid,manual,11510,2,1,8669
kia,optima,2004,1.9,hybrid,automatic,78774,4,3,8124
ford,focus,2014,1.6,diesel,semi-automatic,170677,2,3,6486
volkswagen,golf,2019,1.9,electric,semi-automatic,247738,4,1,8745
toyota,camry,2017,1.4,diesel,manual,14575,3,2,10308
hyundai,sonata,2007,3.1,petrol,semi-automatic,187954,5,4,5540
hyundai,sonata,2014,3.2,electric,manual,270876,2,1,8082
volkswagen,passat,2021,5.0,petrol,manual,183606,4,1,11727
mercedes,e-class,2002,3.1,hybrid,manual,146775,2,4,5864
chevrolet,malibu,2003,3.8,electric,semi-automatic,271544,3,3,5369
honda,civic,2018,2.0,hybrid,manual,224940,5,1,8001
audi,q5,2016,1.6,electric,automatic,174255,2,1,10514
toyota,camry,2022,4.8,electric,automatic,213016,5,1,14739
bmw,5 series,2017,2.0,electric,automatic,279542,2,5,9109
mercedes,c-class,2020,1.9,electric,semi-automatic,289391,3,5,8212
chevrolet,equinox,2007,2.1,diesel,manual,98341,2,3,6333
chevrolet,malibu,2015,2.1,electric,manual,295917,4,1,6781
ford,explorer,2023,3.2,hybrid,automatic,239837,4,5,11903
audi,a4,2003,1.5,diesel,manual,167768,5,2,3144
volkswagen,passat,2022,3.5,diesel,automatic,185444,2,5,11991
toyota,camry,2017,4.3,petrol,manual,71564,2,4,12068
hyundai,elantra,2009,1.4,electric,manual,55857,3,4,9082
toyota,camry,2003,2.9,petrol,manual,235296,4,2,3194
mercedes,gla,2013,4.4,petrol,semi-automatic,144737,4,2,9505
audi,a3,2012,4.9,petrol,automatic,270529,3,2,8689
hyundai,sonata,2023,3.2,petrol,semi-automatic,274305,3,4,8713
ford,explorer,2021,1.8,electric,automatic,261022,3,1,10479
honda,accord,2018,1.6,hybrid,automatic,16937,3,3,13261
ford,fiesta,2006,2.9,petrol,automatic,86497,2,5,8570
chevrolet,malibu,2023,2.8,electric,manual,186725,3,2,12065
audi,a4,2007,3.6,petrol,semi-automatic,174326,5,3,6313
honda,accord,2004,3.4,diesel,manual,187570,2,5,4948
mercedes,e-class,2017,1.8,electric,manual,238729,4,1,8225
audi,q5,2014,2.5,diesel,manual,222808,4,1,6343
ford,fiesta,2020,4.2,petrol,manual,187494,3,4,10550
kia,sportage,2016,4.1,hybrid,semi-automatic,295251,4,3,8094
bmw,5 series,2021,4.1,diesel,semi-automatic,68393,4,4,13132
mercedes,e-class,2016,1.6,hybrid,automatic,263320,3,5,7733
audi,a3,2012,4.7,petrol,automatic,192319,2,2,10053
kia,rio,2007,2.1,hybrid,semi-automatic,94648,5,2,7407
chevrolet,equinox,2013,3.7,hybrid,semi-automatic,3133,5,2,12637
mercedes,e-class,2005,3.9,hybrid,semi-automatic,83042,4,2,8839
volkswagen,tiguan,2022,2.6,petrol,manual,130508,2,4,10689
mercedes,gla,2000,2.0,petrol,semi-automatic,289423,2,2,2000
mercedes,gla,2002,2.3,electric,manual,276693,2,3,3466
mercedes,gla,2014,2.9,diesel,manual,3243,2,2,11135
chevrolet,malibu,2015,2.8,electric,automatic,92699,4,1,13046
audi,a3,2015,2.8,petrol,automatic,246588,3,2,7968
kia,rio,2010,3.0,hybrid,automatic,43974,4,5,11720
audi,a3,2020,4.5,diesel,semi-automatic,165484,2,5,11290
honda,accord,2007,1.2,petrol,semi-automatic,245094,2,5,2498
ford,focus,2014,2.2,petrol,semi-automatic,88831,3,1,8723
mercedes,e-class,2014,2.8,hybrid,automatic,262760,5,2,8344
mercedes,gla,2001,2.6,hybrid,automatic,123342,5,2,7033
volkswagen,passat,2008,3.1,petrol,manual,261959,4,2,4360
audi,q5,2023,4.1,petrol,semi-automatic,273313,4,3,9633
mercedes,gla,2017,2.8,petrol,manual,233511,3,4,7329
hyundai,sonata,2004,2.8,diesel,semi-automatic,80740,4,4,6485
chevrolet,malibu,2005,4.7,hybrid,semi-automatic,80337,2,4,9693
mercedes,c-class,2011,3.1,electric,manual,90362,2,3,10692
chevrolet,impala,2012,3.4,hybrid,automatic,282395,3,2,7952
kia,rio,2011,1.1,petrol,automatic,195258,4,2,6094
mercedes,e-class,2004,2.2,electric,automatic,172373,3,5,7552
toyota,camry,2016,2.6,petrol,semi-automatic,246185,3,5,6576
honda,civic,2003,3.7,hybrid,manual,78952,2,4,8120
mercedes,gla,2017,4.5,hybrid,automatic,172313,5,2,12753
chevrolet,impala,2013,2.7,hybrid,automatic,34649,4,2,12507
toyota,camry,2004,4.8,petrol,semi-automatic,139871,2,4,7302
chevrolet,impala,2021,2.9,diesel,manual,272066,4,3,7858
toyota,camry,2014,4.6,diesel,manual,53192,3,4,11836
honda,civic,2004,3.5,petrol,automatic,223180,5,4,5836
hyundai,sonata,2016,2.4,electric,semi-automatic,156430,2,2,10171
hyundai,tucson,2006,1.2,diesel,automatic,55653,5,3,7486
hyundai,elantra,2005,2.0,diesel,automatic,23686,2,4,8626
bmw,3 series,2002,1.4,petrol,manual,122799,2,1,3644
volkswagen,tiguan,2008,3.8,diesel,semi-automatic,40095,4,4,9498
chevrolet,equinox,2010,4.0,hybrid,automatic,129931,4,5,11001
toyota,corolla,2012,2.1,diesel,semi-automatic,155049,5,3,6699
honda,accord,2021,2.7,diesel,automatic,134924,5,5,11901
ford,fiesta,2018,1.3,petrol,automatic,48622,3,1,11327
volkswagen,golf,2014,1.1,hybrid,automatic,132424,5,3,9251
volkswagen,tiguan,2006,4.6,diesel,semi-automatic,97345,4,4,8553
hyundai,sonata,2019,2.9,electric,manual,125586,3,2,12188
bmw,x5,2005,4.7,hybrid,manual,45664,2,5,10386
audi,a3,2021,3.5,hybrid,automatic,259125,2,3,11217
ford,focus,2002,4.7,diesel,automatic,121836,4,4,8463
honda,accord,2001,5.0,petrol,semi-automatic,130885,5,5,6782
mercedes,e-class,2021,4.3,diesel,automatic,199460,2,3,12210
toyota,rav4,2013,4.7,diesel,semi-automatic,194077,2,2,8818
audi,a3,2022,1.1,hybrid,semi-automatic,100576,3,4,10788
honda,accord,2001,4.6,petrol,semi-automatic,60030,4,4,7799
bmw,5 series,2011,2.2,hybrid,semi-automatic,1204,4,1,10575
bmw,5 series,2018,1.6,hybrid,automatic,117550,2,2,11249
chevrolet,equinox,2005,2.6,hybrid,manual,108983,4,4,7020
hyundai,tucson,2000,3.7,hybrid,automatic,127711,4,5,7745
ford,fiesta,2011,2.2,diesel,manual,212191,4,3,5356
hyundai,sonata,2001,2.2,petrol,automatic,224898,2,3,3602
bmw,x5,2014,1.9,petrol,automatic,123083,4,4,9238
audi,q5,2022,3.0,electric,automatic,177872,5,3,13642
kia,sportage,2017,1.9,petrol,automatic,295322,5,3,6693
bmw,x5,2012,2.1,diesel,semi-automatic,210734,5,2,5585
toyota,camry,2014,2.5,hybrid,semi-automatic,194179,3,3,7916
bmw,5 series,2018,4.9,diesel,manual,23752,4,2,13924
honda,accord,2018,3.2,electric,manual,239683,5,3,9906
bmw,x5,2014,2.3,hybrid,manual,3593,4,4,11528
volkswagen,passat,2002,1.4,diesel,automatic,41749,3,1,6765
volkswagen,tiguan,2002,2.2,hybrid,manual,215636,4,5,3587
toyota,rav4,2007,2.3,electric,automatic,276638,3,4,6467
chevrolet,impala,2000,3.5,electric,manual,83835,2,5,7923
bmw,5 series,2001,1.6,diesel,manual,129239,5,2,3415
chevrolet,impala,2014,1.8,electric,semi-automatic,108808,5,3,9923
volkswagen,passat,2000,1.8,electric,automatic,260652,4,1,4186
audi,a4,2018,1.1,electric,semi-automatic,297999,4,5,6640
toyota,camry,2006,3.2,hybrid,automatic,260053,2,2,6398
chevrolet,malibu,2019,2.4,petrol,automatic,219203,4,4,9315
audi,q5,2001,4.5,electric,semi-automatic,147300,2,4,7954
bmw,5 series,2007,1.9,electric,semi-automatic,8147,3,1,9937
volkswagen,tiguan,2002,1.5,hybrid,automatic,199749,5,2,4705
chevrolet,equinox,2013,2.7,hybrid,semi-automatic,53830,5,5,10623
volkswagen,tiguan,2017,4.0,hybrid,manual,231470,4,2,9570
volkswagen,passat,2010,2.9,electric,manual,135920,3,2,9281
toyota,camry,2000,4.4,hybrid,manual,57645,3,3,8347
chevrolet,equinox,2019,4.6,diesel,semi-automatic,113334,4,3,12133
toyota,corolla,2003,2.7,diesel,manual,297911,3,2,2000
toyota,camry,2011,1.9,petrol,semi-automatic,4408,5,4,9211
hyundai,elantra,2023,3.4,hybrid,manual,61514,2,2,14169
honda,accord,2020,2.9,petrol,automatic,265957,4,3,9180
chevrolet,equinox,2009,4.9,petrol,manual,187571,4,1,7948
kia,optima,2023,3.9,diesel,semi-automatic,99441,4,1,12911
bmw,5 series,2011,2.5,diesel,manual,241741,2,2,5065
chevrolet,impala,2008,4.0,petrol,manual,288161,4,1,4736
honda,cr-v,2000,2.7,hybrid,semi-automatic,121855,3,4,5362
mercedes,gla,2010,1.8,petrol,automatic,223845,2,3,5923
kia,optima,2005,4.9,diesel,manual,256501,3,4,5369
volkswagen,tiguan,2001,3.0,diesel,automatic,267839,4,3,3543
honda,accord,2010,2.7,electric,manual,170924,4,1,8381
toyota,rav4,2003,1.3,electric,semi-automatic,106652,5,2,6166
bmw,3 series,2002,1.1,hybrid,manual,192750,4,1,2945
honda,accord,2011,4.7,electric,automatic,176460,4,4,12070
honda,civic,2010,4.0,hybrid,manual,57669,3,2,10946
honda,accord,2008,1.1,electric,semi-automatic,292057,5,3,3758
honda,cr-v,2013,3.2,diesel,manual,59388,3,2,10012
hyundai,tucson,2017,4.5,petrol,automatic,267485,3,1,9850
audi,a3,2015,3.5,hybrid,automatic,127954,4,1,12040
volkswagen,tiguan,2007,1.2,diesel,semi-automatic,146587,2,1,4468
chevrolet,equinox,2019,4.1,hybrid,semi-automatic,9200,3,2,14716
honda,civic,2002,2.1,electric,automatic,245787,2,5,5384
hyundai,elantra,2007,4.7,electric,manual,186809,5,1,9163
mercedes,gla,2001,3.6,hybrid,semi-automatic,35821,4,3,8283
toyota,corolla,2013,1.5,electric,semi-automatic,121751,5,2,9064
hyundai,elantra,2013,2.0,diesel,semi-automatic,88275,2,4,8234
audi,q5,2008,2.8,diesel,automatic,227755,5,3,6244
volkswagen,tiguan,2011,4.4,hybrid,automatic,175408,3,4,10791
hyundai,tucson,2021,4.6,hybrid,manual,157634,2,4,12847
ford,fiesta,2019,4.9,electric,automatic,250207,4,5,13195
hyundai,tucson,2006,3.6,petrol,semi-automatic,263199,4,4,4236
honda,accord,2009,2.6,hybrid,automatic,59651,5,4,10706
audi,a4,2005,4.1,hybrid,manual,101857,4,3,8662
audi,a4,2010,2.2,diesel,semi-automatic,7796,5,1,9144
mercedes,gla,2013,3.5,hybrid,manual,142779,2,1,9644
toyota,camry,2019,3.5,hybrid,manual,160589,2,5,11088
kia,optima,2013,4.0,diesel,manual,34829,3,5,11303
honda,cr-v,2015,1.4,electric,automatic,238290,3,3,8734
kia,rio,2012,3.3,hybrid,automatic,253002,3,3,8439
volkswagen,tiguan,2013,4.2,petrol,automatic,79579,5,3,12108
volkswagen,tiguan,2006,1.7,electric,manual,217119,3,4,5257
chevrolet,malibu,2013,1.9,electric,automatic,36708,2,2,12665
bmw,5 series,2000,5.0,petrol,automatic,260128,2,3,5397
audi,q5,2005,2.2,petrol,automatic,48268,4,1,8334
kia,optima,2021,2.2,hybrid,automatic,205621,5,1,10987
bmw,5 series,2000,4.9,petrol,semi-automatic,277530,4,1,3449
